business_id,name,risk_category,high_risk_count
1843,Ma's Dim Sum & Cafe,High Risk,11
2326,IRMA'S PAMPANGA RESTAURANT,High Risk,10
65066,Lers Ros Thai Noodle,High Risk,10
10102,BODEGA BISTRO,High Risk,9
1912,Cafe Bakery,High Risk,9
2421,ST FRANCIS FOUNTAIN,High Risk,9
67330,San Tung Restaurant LLC,High Risk,9
69016,Lahore Karahi,High Risk,9
1757,Dar Bar Pakistani/Indian Cusine,High Risk,8
17570,Tres Agaves,High Risk,8
